word,sentence
Everest,"From the Nepalese side, Everest is protected as part of Sagarmatha National Park, while from the Chinese side the mountain is protected as part of Qomolangma National Nature Reserve."
Everest,Mount Everest has an ice cap climate (K ppen EF) with all months averaging well below freezing.
Everest,"The base camp for Everest expeditions based out of Nepal is located by Khumbu Glacier, which is rapidly thinning and destabilizing due to climate change, making it unsafe for climbers."
Everest,"As recommended by the committee formed by Nepal's government to facilitate and monitor mountaineering in the Everest region, Taranath Adhikari the director general of Nepal's tourism department said they have plans to move the base camp to a lower altitude."
Everest,"The project was orchestrated by Stations at High Altitude for Research on the Environment (SHARE), which also placed the Mount Everest webcam in 2011."
Everest,Mount Everest extends into the upper troposphere and penetrates the stratosphere.
Everest,Mount Everest hosts several weather stations that collect important data on high-altitude weather conditions.
Everest,"Set up by climate scientists Tom Matthews and Baker Perry in 2019, this station is positioned just below the summit of Everest, which is the highest point on Earth."
Everest,"Because Everest is the highest mountain in the world, it has attracted considerable attention and climbing attempts."
Everest,"Everest remained a difficult climb for decades, even by professional climbers and large national expeditions, which were the norm until the commercial era began in the 1990s."
Everest,"Although lower mountains have longer or steeper climbs, Everest is so high the jet stream can hit it."
Everest,"In 1885, Clinton Thomas Dent, president of the Alpine Club, suggested climbing Everest was possible in his book Above the Snow Line."
Everest,"With Mallory leading, and thus becoming the first European to set foot on Everest's flanks, they climbed the North Col to an altitude of 7,005 metres (22,982 ft)."
Everest,"In 1933, Lady Houston, a British millionaire, funded the Houston Everest Flight of 1933, which saw a formation of two aeroplanes led by the Marquess of Clydesdale fly over the Everest summit."
Everest,"In 1950, Bill Tilman and a small party which included Charles Houston, Oscar Houston, and Betsy Cowles undertook an exploratory expedition to Everest through Nepal along the route which has become the standard approach to Everest from the south."
Everest,The 1952 Swiss Mount Everest expedition was granted permission to attempt a climb from Nepal.
Everest,"The first American to climb Everest, Jim Whittaker, joined by Nawang Gombu, reached the summit on 1 May 1963 on the American Mount Everest expedition and on 22 May on the same expedition Tom Hornbein and Willi Unsoeld were the first the traverse the mountain by climbing via the North Face and descending via the South Col."
Everest,Another element was an attempt to ski Everest.
Everest,"Yuichiro Miura became the first man to ski down Everest from the South Col he descended nearly 1,300 vertical metres (4,200 ft) from the South Col before falling with extreme injuries."
Everest,"Miura's exploits became the subject of film, and he went on to become the oldest person to summit Everest in 2003 aged 70 and in 2013 aged 80."
Everest,"In 1975, Junko Tabei became the first woman to summit Everest."
Everest,The 1975 British Mount Everest Southwest Face expedition led and organised by Chris Bonington made the first ascent of the Southwest Face from the Western Cwm.
Everest,"In 1978, Reinhold Messner and Peter Habeler made the first ascent of Everest without supplemental oxygen."
Everest,"The Polish climber Andrzej Zawada headed the first winter ascent of Everest, the first winter ascent of an eight-thousander."
Everest,"In 1989, Polish climbers under the leadership of Eugeniusz Chrobak organised an international expedition to Everest on a difficult western ridge."
Everest,"These were the highest death tolls for a single weather event, and season, until the 16 deaths in the 2014 Mount Everest ice avalanche."
Everest,The guiding disaster gained publicity and raised questions about the commercialisation of climbing and the safety of guiding clients on Everest.
Everest,"The storm's impact on climbers on the North Ridge, where several climbers also died, was detailed in a first-hand account by Matt Dickinson in his book The Other Side of Everest."
Everest,"Sixteen-year-old Mark Pfetzer was on the climb and wrote about it in, Within Reach: My Everest Story."
Everest,The 2015 feature film Everest is based on the events of this guiding disaster.
Everest,Much of this controversy was captured by the Discovery Channel while filming Everest: Beyond the Limit.
Everest,Analysis of the 1996 Mount Everest disaster shows part of the blame was on the bottleneck caused by a large number of climbers (33 to 36) attempting to summit on the same day; this was unusually high at the time.
Everest,"However, on 25 April 2015, an earthquake measuring 7.8 Mw triggered an avalanche that hit Everest Base Camp, shutting down the season."
Everest,"The avalanche began on Pumori, moved through the Khumbu Icefall on the southwest side of Everest, and slammed into the South Base Camp."
Everest,"On 27 May, Kami Rita made his 21st summit with the Alpine Ascents Everest Expedition, one of three people, along with Apa Sherpa and Phurba Tashi Sherpa to make it to the summit 21 times."
Everest,"There was an announcement of an expedition to re-measure the height of Everest, particularly in light of the 2015 earthquakes."
Everest,"Although China has had permit restrictions, and Nepal requires a doctor to sign off on climbing permits, the natural dangers of climbing such as falls and avalanches combined with medical issues aggravated by Everest's extreme altitude led to 2019 being a year with a comparatively high death toll."
Everest,"In October 2025, blizzard-like conditions prompted Chinese authorities to evacuate nearly 350 people by October 6, with about 200 more stranded on the Everest Scenic Area."
Everest,"In 2017, a person who tried to climb Everest without the 11,000 permit was caught after he made it past the Khumbu icefall."
Everest,The number of permits issued each year by Nepal is: 2008: 160 2009: 220 2010: 209 2011: 225 2012: 208 2013: 316 2014: 326 (extended for use through 2019) 2015: 356 (extended for use through 2017) 2016: 289 2017: 366 to 373 2018: 346 2019: 381 2020: 0 (no permits issued during the pandemic) 2021: 408 (current record) The Chinese side in Tibet is also managed with permits for summiting Everest.
Everest,"They did not issue permits in 2008, due to the Olympic torch relay being taken to the summit of Mount Everest."
Everest,"In March 2020, the governments of China and Nepal cancelled all climbing permits for Mount Everest due to the COVID-19 pandemic."
Everest,"According to Jon Krakauer, the era of commercialisation of Everest started in 1985, when the summit was reached by a guided expedition led by David Breashears that included Richard Bass, a wealthy 55-year-old businessman and an amateur mountain climber with four years of climbing experience."
Everest,"Going with a ""celebrity guide"", usually a well-known mountaineer typically with decades of climbing experience and perhaps several Everest summits, can cost over 100,000 as of 2015."
Everest,"Tourism contributed 7.9 per cent of the gross domestic product (GDP) in 2019 in a country with high unemployment, but an Everest porter can make nearly double the nation's average wage in a region in which other sources of income are lacking."
Everest,"The permit to enter the Everest area from the south via Nepal costs US 10,000 to US 30,000 per person, depending on the size of the team."
Everest,The degree of commercialisation of Mount Everest is a frequent subject of criticism.
Everest,"These commercial trips to Everest, they are still dangerous."
Everest,"For example, Edmund Hillary stated in 2003 that while ""Having people pay 65,000 and then be led up the mountain by a couple of experienced guides...isn't really mountaineering at all"", he was pleased by the changes brought to Everest area by Westerners: I don't have any regrets because I worked very hard indeed to improve the condition for the local people."
Everest,"People climb Denali 6,190 m or 20,320 ft or Aconcagua 6,960 m or 22,834 ft and think, 'Heck, I feel great up here, I'm going to try Everest.' But it's not like that."" Speed climbing Altitude tents Some expedition teams have clients use altitude tents to pre-acclimatise prior to leaving for the mountain."
Everest,"Compared to traditional Everest expeditions that last 50 to 60 days, altitude tents can reduce the expedition time frame to 30 to 35 days."
Everest,Summiting with disabilities Summiting Everest with disabilities has become popular in the 21st century.
Everest,"Mount Everest has two main climbing routes, the Southeast Ridge from Nepal and the North Ridge from Tibet, as well as many other less frequently climbed routes."
Everest,"Southeast Ridge The ascent via the Southeast Ridge begins with a trek to Base Camp at 5,380 m (17,700 ft) on the south side of Everest, in Nepal."
Everest,"When Hillary and Tenzing climbed Everest in 1953, the British expedition they were part of (comprising over 400 climbers, porters, and Sherpas at that point) started from the Kathmandu Valley, as there were no roads further east at that time."
Everest,"North Ridge route The North Ridge route begins from the north side of Everest, in Tibet."
Everest,"The summit of Everest has been described as ""the size of a dining room table""."
Everest,"(See the Surveys section for more on its height and about the Everest rock summit.) Below the summit, there is an area known as ""rainbow valley"", filled with dead bodies still wearing brightly coloured winter gear."
Everest,"At the higher regions of Mount Everest, climbers seeking the summit typically spend substantial time within the death zone (altitudes higher than 8,000 m or 26,000 ft), and face significant challenges to survival."
Everest,High winds at these altitudes on Everest are also a potential threat to climbers.
Everest,"The atmospheric pressure at the top of Everest is about a third of sea level pressure or 0.333 standard atmospheres (337 mbar), resulting in the availability of only about a third as much oxygen to breathe."
Everest,Debilitating symptoms consistent with high altitude cerebral oedema commonly present during descent from the summit of Mount Everest.
Everest,"A 2008 study noted that the ""death zone"" is indeed where most Everest deaths occur, but also noted that most deaths occur during descent from the summit."
Everest,"A 2014 article in The Atlantic about deaths on Everest noted that while falling is one of the greatest dangers the death zone presents for all 8000ers, avalanches are a more common cause of death at lower altitudes."
Everest,"Despite this, Everest is safer for climbers than a number of peaks by some measurements, but it depends on the period."
Everest,"Up to a quarter of Everest climbers can experience retinal haemorrhages, and although they usually heal within weeks of returning to lower altitudes, in 2010 a climber went blind and died in the death zone."
Everest,"Even for the able, Everest's Northeast Ridge is recognised as a challenge."
Everest,"Everest can be climbed without supplementary oxygen, but only by the most accomplished mountaineers and at increased risk."
Everest,"While about 95 per cent of climbers who reach the summit use bottled oxygen in order to reach the top, about five per cent of climbers have summited Everest without supplemental oxygen."
Everest,"One study found that Mount Everest may be the highest an acclimatised human could go, but also found that climbers may suffer permanent neurological damage despite returning to lower altitudes."
Everest,The use of bottled oxygen to ascend Mount Everest has been controversial.
Everest,"It was first used on the 1922 British Mount Everest Expedition by George Finch and Geoffrey Bruce who climbed up to 7,800 m (25,600 ft) at a spectacular speed of 300 vertical metres per hour (1,000 ft h)."
Everest,"...although an acclimatised lowlander can survive for a time on the summit of Everest without supplemental oxygen, one is so close to the limit that even a modicum of excess exertion may impair brain function."
Everest,"He proposed banning bottled oxygen except for emergency cases, arguing that this would both decrease the growing pollution on Everest many bottles have accumulated on its slopes and keep marginally qualified climbers off the mountain."
Everest,"Some studies have found that high-altitude climbers, including Everest climbers, experience altered brain structure."
Everest,"Although generally less popular than spring, Mount Everest has also been climbed in the autumn (also called the ""post-monsoon season"")."
Everest,"For example, in 2010 Eric Larsen and five Nepali guides summited Everest in the autumn for the first time in ten years."
Everest,"Chris Chandler and Bob Cormack summited Everest in October 1976 as part of the American Bicentennial Everest Expedition that year, the first Americans to make an autumn ascent of Mount Everest according to the Los Angeles Times."
Everest,"By the 21st century, summer and autumn can be more popular with skiing and snowboard attempts on Mount Everest."
Everest,"In May 2006, Vitor Negrete, the first Brazilian to climb Everest without oxygen and part of David Sharp's party, died during his descent, and theft of gear and food from his high-altitude camp may have contributed."
Everest,"In addition to theft, Michael Kodas describes in his book, High Crimes: The Fate of Everest in an Age of Greed (2008): unethical guides and Sherpas, prostitution and gambling at the Tibet Base Camp, fraud related to the sale of oxygen bottles, and climbers collecting donations under the pretense of removing trash from the mountain."
Everest,"The Chinese side of Everest in Tibet was described as ""out of control"" in 2007 after one Canadian had all his gear stolen and was abandoned by his Sherpa."
Everest,"Felix Norton, and Howard Somervell 1952: First climb to South Col by 1952 Swiss Mount Everest expedition 1953: First ascent, by Tenzing Norgay and Edmund Hillary on 1953 British Mount Everest expedition 1960: First reported ascent from the North Ridge by Wang Fuzhou, Gonpo and Qu Yinhua of China."
Everest,"1975: First female ascent from the North Ridge, by Phanthog, deputy head of the second Chinese Everest expedition that sent nine climbers to the summit (27 May)."
Everest,"1988: First descent by paraglider, by Jean-Marc Boivin 1988: First female ascent without supplemental oxygen by Lydia Bradey 2000: First descent by ski by Davo Karni ar 2001: First ascent by a blind climber, Erik Weihenmayer 2001: Lhakpa Sherpa becomes first Nepali woman to summit Everest and survive."
Everest,"Lucy, Lady Houston, a British millionaire former showgirl, funded the Houston Everest Flight of 1933."
Everest,"On 26 September 1988, having climbed the mountain via the Southeast Ridge, Jean-Marc Boivin made the first paraglider descent of Everest, in the process creating the record for the fastest descent of the mountain and the highest paraglider flight."
Everest,"Boivin said: ""I was tired when I reached the top because I had broken much of the trail, and to run at this altitude was quite hard."" In 1991, four men in two balloons achieved the first hot-air balloon flight over Mount Everest."
Everest,Dickinson went on to write a book about the adventure called Ballooning Over Everest.
Everest,"Reinhold Messner called one of Dickinson's panoramic views of Everest, captured on the now discontinued Kodak Kodachrome film, the ""best snap on Earth"", according to UK newspaper The Telegraph."
Everest,"In May 2005, pilot Didier Delsalle of France landed a Eurocopter AS350 B3 helicopter on the summit of Mount Everest."
Everest,"Some press reports suggested that the report of the summit landing was a misunderstanding of a South Col landing, but he had also landed on South Col two days earlier, with this landing and the Everest records confirmed by the FAI."
Everest,"On 21 May 2011, Nepalis Lakpa Tsheri Sherpa and Sano Babu Sunuwar paraglided from Everest's summit to Namche Bazaar in 42 minutes."
Everest,"After the flight they hiked, biked, and kayaked to the Indian Ocean, reaching the Bay of Bengal by 27 June 2011, thereby becoming the first people to complete a continuous summit-to-sea descent from Everest."
Everest,"In 2014, a team financed and led by mountaineer Wang Jing used a helicopter to fly from South Base Camp to Camp II to avoid the Khumbu Icefall, and thence climbed to the Everest summit."
Everest,In particular it was noted that flights saved icefall porters 80 trips but still increased commercial activity at Everest.
Everest,"That summer Bell tested the 412EPI, which conducted a series of tests including hovering at 5,500 m (18,000 ft) and flying as high as 6,100 m (20,000 ft) altitude near Mount Everest."
Everest,"Mount Everest has been host to other winter sports and adventuring besides mountaineering, including snowboarding, skiing, paragliding, and BASE jumping."
Everest,Yuichiro Miura became the first man to ski down Everest in the 1970s.
Everest,Stefan Gatt and Marco Siffredi snowboarded Mount Everest in 2001.
Everest,"Other Everest skiers include Davo Karni ar of Slovenia, who completed a top to South Base Camp descent in 2000, Hans Kammerlander of Italy in 1996 on the north side, and Kit DesLauriers of the United States in 2006."
Everest,In 1986 Steve McKinney led an expedition to Mount Everest.
Everest,"Frenchman Jean-Marc Boivin made the first paraglider descent of Everest in September 1988, descending in minutes from the Southeast Ridge to a lower camp."
Everest,"In 2011, two Nepalis made a gliding descent from the Everest summit down 5,000 metres (16,400 ft) in 45 minutes."
Everest,"The southern part of Mount Everest is regarded as one of several ""hidden valleys"" of refuge designated by Padmasambhava, a ninth-century ""lotus-born"" Buddhist saint."
Everest,"Near the base of the north side of Everest lies Rongbuk Monastery, which has been called the ""sacred threshold to Mount Everest, with the most dramatic views of the world."" For Sherpas living on the slopes of Everest in the Khumbu region of Nepal, Rongbuk Monastery is an important pilgrimage site, accessed in a few days of travel across the Himalayas through Nangpa La."
Everest,"Miyolangsangma, a Tibetan Buddhist ""Goddess of Inexhaustible Giving"", is believed to have lived at the top of Mount Everest."
Everest,"According to Sherpa Buddhist monks, Mount Everest is Miyolangsangma's palace and playground, and all climbers are only partially welcome guests, having arrived without invitation."
Everest,"The Sherpa people also believe that Mount Everest and its flanks are blessed with spiritual energy, and one should show reverence when passing through this sacred landscape."
Everest,"Human waste is strewn across the verges of the route to the summit, making the four sleeping areas on the route up Everest's south side minefields of human excrement."
Everest,"At approximately 5,500 m (18,000 ft), Base Camp sees the most activity of all camps on Everest because climbers acclimate and rest there."
Everest,"In February 2019, due to the mounting waste problem, China closed the base camp on its side of Everest to visitors without climbing permits."
Everest,"In April 2019, the Solukhumbu district's Khumbu Pasanglhamu Rural Municipality launched a campaign to collect nearly 10,000 kg (20,000 lb) of garbage from Everest."
Everest,Mount Everest: The Reconnaissance 1935.
Everest,The Climb: Tragic Ambitions on Everest.
Everest,"""Everest, Mount"" ."
Everest,The Crystal Horizon: Everest the first solo ascent.
Everest,"The Story of Everest, 1921 1952."
Everest,"""Mount Everest: Surveying the Third Pole""."
Everest,"Mount Everest on Himalaya-Info.org (German) 360 panorama view from top of Mount Everest large dimension drawing National Geographic site on Mount Everest NOVA site on Mount Everest Imaging Everest, a collection of photographs Archived 14 November 2016 at the Wayback Machine Mount Everest on Summitpost Full list of all ascents of Everest up to and including 2008 (in PDF format) Deaths by year (Summits and deaths per year) Mount Everest panorama, Mount Everest interactive panorama (QuickTime format), Virtual panoramas National Geographic, 2015 article with info-graphic on climbing routes Himalayan Database: Data Visualization of Mount Everest Summit, Attempt, and Death"
K2,"K2, also known as Mount Godwin-Austen, at 8,611 metres (28,251 ft) above sea level, is the second-highest mountain on Earth, after Mount Everest at 8,849 metres (29,032 ft)."
K2,"K2 became known as the Savage Mountain after George Bell a climber on the 1953 American expedition said, ""It's a savage mountain that tries to kill you."" Of the five highest mountains in the world, K2 has long been the deadliest: prior to 2021, approximately one person had died on the mountain for every four who reached the summit."
K2,"After an increase in successful attempts, as of August 2023, an estimated 800 people have summited K2, with 96 deaths during attempted climbs."
K2,"K2 is nicknamed ""The King of Mountains"" and ""The Mountaineers' Mountain"", as well as ""The Mountain of Mountains"", a phrase popularized by Italian climber Reinhold Messner in his book on K2."
K2,"Although the summit of Everest is at a higher altitude, K2 is a more difficult and dangerous climb."
K2,In January 2021 K2 became the final eight-thousander to be summited in the winter by a team of Nepalese climbers led by Nirmal Purja and Mingma Gyalje Sherpa.
K2,"K2's eastern face remains un-climbed, partly because of the hazards associated with the instability of its ice and snow formations."
K2,The name K2 is derived from the notation used by the Great Trigonometrical Survey of British India.
K2,"Thomas Montgomerie made the first survey of the Karakoram from Mount Haramukh, some 210 km (130 mi) to the south, and sketched the two most prominent peaks, labeling them K1 and K2, where the K stands for Karakoram."
K2,"K2, however, appeared not to have acquired a local name possibly due to its remoteness."
K2,"K2 is only fleetingly glimpsed from the end of the Baltoro Glacier, beyond which few local people would have ventured."
K2,"The surveyor's mark, K2, therefore continues to be the name by which the mountain is commonly known."
K2,"The Italian climber Fosco Maraini argued in his account of the ascent of Gasherbrum IV that while the name of K2 owes its origin to chance, its clipped, impersonal nature is highly appropriate for such a remote and challenging mountain."
K2,Andr Weil named K3 surfaces in mathematics partly after the beauty of the mountain K2.
K2,K2 lies in the northwestern Karakoram Range.
K2,"Melt waters from glaciers, such as those south and east of K2, feed agriculture in the valleys and contribute significantly to the regional fresh-water supply."
K2,"K2 is ranked 22nd by topographic prominence, a measure of a mountain's independent stature."
K2,"It is a part of the same extended area of uplift (including the Karakoram, the Tibetan Plateau, and the Himalayas) as Mount Everest, and it is possible to follow a path from K2 to Everest that goes no lower than 4,594 metres (15,072 ft), at the Kora La on the Nepal China border in the Mustang Lo."
K2,Many other peaks far lower than K2 are more independent in this sense.
K2,K2 is notable for its local relief as well as its total height.
K2,"The north side is the steepest: there it rises over 3,200 metres (10,500 ft) above the K2 (Qogir) Glacier in only 3,000 metres (9,800 ft) of horizontal distance."
K2,"A 1986 expedition led by George Wallerstein made an inaccurate measurement showing that K2 was taller than Mount Everest, and therefore the tallest mountain on Earth."
K2,"A corrected measurement was made in 1987, but by then the claim that K2 was the tallest mountain in the world had already made it into many news reports and reference works."
K2,"K2's height given on maps and encyclopedias is 8,611 metres (28,251 ft)."
K2,"In the summer of 2014, a Pakistani-Italian expedition to K2, named ""K2 60 Years Later"", was organized to commemorate the 60th anniversary of the first ascent of K2."
K2,"The height of K2 measured during this expedition was 8,609.02 metres (28,244.8 ft)."
K2,"The mountains of K2 and Broad Peak, and the area westward to the lower reaches of Sarpo Laggo glacier, consist of metamorphic rocks, known as the K2 Gneiss and part of the Karakoram Metamorphic Complex."
K2,The K2 Gneiss consists of a mixture of orthogneiss and biotite-rich paragneiss.
K2,"On the south and southeast face of K2, the orthogneiss consists of a mixture of a strongly foliated plagioclase-hornblende gneiss and a biotite-hornblende-K-feldspar orthogneiss, which has been intruded by garnet-mica leucogranitic dikes."
K2,"Near the memorial to the climbers who have died on K2, above Base Camp on the south spur, thin impure marbles with quartzites and mica schists, called the Gilkey-Puchoz sequence, are interbanded within the orthogneisses."
K2,"On the west face of Broad Peak and the south spur of K2, lamprophyre dikes, which consist of clinopyroxene and biotite-porphyritic vogesites and minettes, have intruded the K2 gneiss."
K2,The K2 Gneiss is separated from the surrounding sedimentary and metasedimentary rocks of the surrounding Karakoram Metamorphic Complex by normal faults.
K2,"For example, a fault separates the K2 gneiss of the east face of K2 from limestones and slates comprising nearby Skyang Kangri."
K2,"40Ar 39Ar ages of 115 to 120 million years ago obtained from and geochemical analyses of the K2 Gneiss demonstrate that it is an older, metamorphosed, pre-collisional Cretaceous granite."
K2,The granitic precursor (protolith) to the K2 Gneiss originated as the result of the production of large bodies of magma by a northward-dipping subduction zone along what was the continental margin of Asia at that time and their intrusion as batholiths into its lower continental crust.
K2,"Later, the K2 Gneiss was then intruded by leucogranite dikes and finally exhumed and uplifted along major breakback thrust faults during post-Miocene time."
K2,The K2 Gneiss was exposed as the entire K2-Broad Peak-Gasherbrum range experienced rapid uplift with which erosion rates have been unable to keep pace.
K2,"Team member Thomas Montgomerie designated the mountain ""K2"" for being the second peak of the Karakoram range."
K2,"The first serious attempt to climb K2 was undertaken in 1902 by Oscar Eckenstein, Aleister Crowley, Jules Jacot-Guillarmod, Heinrich Pfannl, Victor Wessely, and Guy Knowles via the Northeast Ridge."
K2,"The failures were also attributed to sickness (Crowley was suffering the residual effects of malaria), a combination of questionable physical training, personality conflicts, and poor weather conditions of 68 days spent on K2 (at the time, the record for the longest time spent at such an altitude) only eight provided clear weather."
K2,"The next expedition to K2, in 1909, led by Prince Luigi Amedeo, Duke of the Abruzzi, reached an elevation of around 6,250 metres (20,510 ft) on the South East Spur, now known as the Abruzzi Spur (or Abruzzi Ridge)."
K2,"After trying and failing to find a feasible alternative route on the West Ridge or the North East Ridge, the Duke declared that K2 would never be climbed, and the team switched its attention to Chogolisa, where the Duke came within 150 metres (490 ft) of the summit before being driven back by a storm."
K2,"The next attempt on K2 was not made until 1938, when the First American Karakoram expedition, led by Charles Houston, made a reconnaissance of the mountain."
K2,Charles Houston returned to K2 to lead the 1953 American expedition.
K2,The 1954 Italian expedition finally succeeded in ascending to the summit of K2 via the Abruzzi Spur on 31 July 1954.
K2,"The third ascent of K2 was in 1978, via a new route, the long and corniced Northeast Ridge."
K2,The first climber to reach the summit of K2 twice was Czech climber Josef Rakoncaj.
K2,The first woman to summit K2 was Polish climber Wanda Rutkiewicz on 23 June 1986.
K2,"On July 28, 2024, Japanese climber Naoko Watanabe became the first woman to summit K2 three times."
K2,"On 28 July 2024, Italian mountaineer Tommaso Lamantia summited K2 (8611m)."
K2,Thirteen climbers from several expeditions died in the 1986 K2 disaster.
K2,"Another six mountaineers died in the 1995 K2 disaster, while eleven climbers died in the 2008 K2 disaster."
K2,"2004 In 2004, the Spanish climber Carlos Soria Font n became the oldest person ever to summit K2, at the age of 65."
K2,"2010 On 6 August 2010, Fredrik Ericsson, who intended to ski from the summit, joined Gerlinde Kaltenbrunner on the way to the summit of K2."
K2,"2011 On 23 August 2011, a team of four climbers reached the summit of K2 from the North side."
K2,"In the summer season, K2 saw a record crowd standing on its summit 28 climbers in a single day bringing the total for the year to 30."
